,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,startDate,endDate,yearsAvail,id,p_MAM7,tau_MAM7,p_Baseflow,tau_Baseflow,p_MeanQ,tau_MeanQ,p_Q10,tau_Q10,p_Q50,tau_Q50,p_Q90,tau_Q90,p_Q95,tau_Q95
17,4108800,"MACATAWA RIVER AT STATE ROAD NEAR ZEELAND, MI",42.77919167,-86.0183722,4050002,1962-10-01,2021-09-30,59,11,0.537796781150971,+,0.000148896583656,+,0.007054326378484,+,0.016079119495586,+,0.001685959437751,+,0.001481624669862,+,0.03756210867258,+
19,4103500,"KALAMAZOO RIVER AT MARSHALL, MI",42.2647643,-84.96387,4050003,1962-10-01,2021-09-30,59,12,0.001464325642723,+,8.52133364039679E-06,+,0.000451331183454,+,0.000957629196132,+,0.001041268075816,+,0.004305554387415,+,0.00398867926296,+
20,4105000,"BATTLE CREEK AT BATTLE CREEK, MI",42.33142969,-85.1536025,4050003,1962-10-01,2021-09-30,59,13,0.019286225677391,+,0.002988413964995,+,0.000641077273136,+,0.009239850805505,+,0.002254146713252,+,0.000980817807943,+,0.002684864825059,+
21,4105500,"KALAMAZOO RIVER NEAR BATTLE CREEK, MI",42.32392989,-85.1974929,4050003,1962-10-01,2021-09-30,59,14,0.003806500153196,+,0.000582208154144,+,0.002115218677376,+,0.007192732351242,+,0.008563981444702,+,0.004723040897497,+,0.001153260476528,+
23,4106000,"KALAMAZOO RIVER AT COMSTOCK, MI",42.28559716,-85.513893,4050003,1962-10-01,2021-09-30,59,15,0.00321540899301,+,0.001028629705646,+,0.00053692188764,+,0.001268232479335,+,0.001366894151731,+,0.000650598006991,+,0.001083724321393,+
25,4106400,"WEST FORK PORTAGE CREEK AT KALAMAZOO, MI",42.2444854,-85.6144495,4050003,1962-10-01,2021-09-30,59,16,0.048529505423298,-,0.54741857550168,-,0.73381636342019,-,0.153864063117991,-,0.91658382368933,-,0.44329851398974,+,0.366195778511494,+
30,4109000,"GRAND RIVER AT JACKSON, MI",42.28364676,-84.4088483,4050004,1962-10-01,2021-09-30,59,17,0.016860392556581,+,0.000893556375824,+,0.033017302517925,+,0.026161493842618,+,0.072061272545329,+,0.016690650698509,+,0.026180706491212,+
311,4111000,"GRAND RIVER NEAR EATON RAPIDS, MI",42.5347591,-84.62303529,4050004,1962-10-01,2021-09-30,59,18,0.000266016549422,+,3.81583870152007E-05,+,0.000478901307712,+,0.003902683510226,+,0.000533976207633,+,0.000880552018473,+,0.019880230787867,+
34,4112000,"SLOAN CREEK NEAR WILLIAMSTON, MI",42.67586828,-84.3638605,4050004,1962-10-01,2021-09-30,59,19,0.422037888242421,+,0.026187111772643,+,0.041318463357228,+,0.171546985186027,+,0.007043762364517,+,0.087806063484964,+,0.161594296643933,+
35,4112500,"RED CEDAR RIVER AT EAST LANSING, MI",42.7272571,-84.4780317,4050004,1962-10-01,2021-09-30,59,20,0.000437964081155,+,0.001353684042082,+,0.005786090819122,+,0.0007730865756,+,0.00038271258913,+,0.014716524426453,+,0.074209721444933,+
36,4113000,"GRAND RIVER AT LANSING, MI",42.75059039,-84.555257,4050004,1962-10-01,2021-09-30,59,21,0.000832460363248,+,0.000108222518402,+,0.000813331687221,+,0.001416489604435,+,0.000306436804438,+,0.004265663003009,+,0.06709212280243,+
37,4114498,"LOOKING GLASS RIVER NEAR EAGLE, MI",42.82809018,-84.7594339,4050004,1962-10-01,2021-09-30,59,22,0.000218181870303,+,0.000361261212862,+,0.001617907657042,+,4.041147836507E-05,+,3.67203198566247E-05,+,0.049544792062646,+,0.429479654306502,+
38,4114000,"GRAND RIVER AT PORTLAND, MI",42.85642289,-84.9122182,4050004,1962-10-01,2021-09-30,59,23,0.003931250040845,+,0.000121562176884,+,0.000633534209702,+,0.002143250489961,+,0.001027107035723,+,0.001640335429165,+,0.036515943898806,+
41,4115000,"MAPLE RIVER AT MAPLE RAPIDS, MI",43.10975485,-84.6930521,4050005,1962-10-01,2021-09-30,59,24,0.007876021246315,+,0.004179380608071,+,0.026187111772643,+,0.005227666836674,+,0.003182906980745,+,0.132543679758928,+,0.628433844773667,+
43,4116000,"GRAND RIVER AT IONIA, MI",42.971977,-85.0691725,4050006,1962-10-01,2021-09-30,59,25,0.000578986533079,+,0.000148896583656,+,0.003118104982031,+,0.002068864087622,+,0.00089204068492,+,0.040033897997493,+,0.35991440073046,+
44,4118500,"ROGUE RIVER NEAR ROCKFORD, MI",43.0822491,-85.5908648,4050006,1962-10-01,2021-09-30,59,26,0.085242878248989,+,0.003646841960904,+,0.005113324408834,+,0.008113080205516,+,0.001205765079575,+,0.071448674710147,+,0.200191078141724,+
45,4119000,"GRAND RIVER AT GRAND RAPIDS, MI",42.963082,-85.6772533,4050006,1962-10-01,2021-09-30,59,27,0.003117159793422,+,0.000322257566767,+,0.000775775208475,+,0.000872170904668,+,0.000249583230671,+,0.009975767151144,+,0.118059448547001,+
46,4117500,"THORNAPPLE RIVER NEAR HASTINGS, MI",42.6158688,-85.2363933,4050007,1962-10-01,2021-09-30,59,28,0.007452773546281,+,0.004923764172544,+,0.004727198866971,+,0.004006347409359,+,0.006515185544166,+,0.022469874320533,+,0.091546461811426,+
